# t (s)	mx ()	my ()	mz ()
4.305053430376473e-10	-0.9178122	0.20080118	-0.08165263
4.4047068788443694e-10	-0.9150178	0.07705653	-0.08443544
4.504560933504505e-10	-0.8933869	-0.0377354	-0.07658837
4.60464214159299e-10	-0.86916935	-0.13151877	-0.059855565
4.705151037168106e-10	-0.85330564	-0.20527405	-0.03683617
4.805772228902342e-10	-0.856667	-0.25432032	-0.009651865
4.90628949923746e-10	-0.8839004	-0.26612437	0.020381654
5.007142271638729e-10	-0.92228204	-0.22281055	0.049608435
5.108286852992775e-10	-0.9452951	-0.1256679	0.07125843
5.209277508970782e-10	-0.9396936	-0.0018864003	0.082344115
5.31005106647762e-10	-0.91517365	0.12559827	0.08323887
5.4106788499301e-10	-0.880828	0.24549532	0.07485508
5.510809337563032e-10	-0.84764045	0.34783277	0.05795945
5.610625866018766e-10	-0.82835996	0.4227246	0.033726957
5.710420424899435e-10	-0.8306423	0.46077618	0.004677378
5.810270698409335e-10	-0.8542787	0.45396337	-0.025192017
5.909999034213639e-10	-0.88808066	0.39841768	-0.051372338
6.009378674180508e-10	-0.91435456	0.2994439	-0.06989767
6.108513607477705e-10	-0.92244315	0.1760896	-0.07713989
6.207685744418616e-10	-0.91449064	0.052224968	-0.07182423
6.307012114898081e-10	-0.9004746	-0.050455246	-0.05573816
6.406546428826152e-10	-0.8937745	-0.11904416	-0.03234697
6.506096684607439e-10	-0.9027291	-0.14930882	-0.005579842
6.605605594179314e-10	-0.9272752	-0.13897705	0.020949213
6.705023318946704e-10	-0.9559516	-0.08631747	0.04359676
6.804452111712644e-10	-0.97157246	0.00130106	0.058077876
6.903923661945085e-10	-0.96600693	0.10401119	0.061585266
7.003313421245206e-10	-0.9451906	0.2009033	0.05474015
7.102619288205196e-10	-0.92166907	0.2791349	0.040257856
7.202018761394091e-10	-0.90727395	0.33068043	0.020634174
7.301651174396579e-10	-0.90785956	0.3491003	-0.0021205978
7.401555881430645e-10	-0.9220434	0.32938617	-0.025700476
7.501611168617577e-10	-0.9424861	0.2701662	-0.046487324
7.601792794727295e-10	-0.96123946	0.17832242	-0.06051505
7.702122011434719e-10	-0.97311336	0.06951059	-0.06460111
7.802454343984973e-10	-0.97517735	-0.036571868	-0.05710685
7.902687912558757e-10	-0.9689122	-0.11982247	-0.038649615
8.002794440006712e-10	-0.9611431	-0.16449308	-0.012686388
8.102803394699817e-10	-0.9595325	-0.16321109	0.0155216595
8.202721401739155e-10	-0.96603847	-0.1164088	0.040797003
8.302604114073568e-10	-0.97486514	-0.031420935	0.058898732
8.402454111126477e-10	-0.97609305	0.07704205	0.06680954
8.502330486610449e-10	-0.96508604	0.18948947	0.06357074
8.602240167090247e-10	-0.9456791	0.2867817	0.050515827
8.702172845748388e-10	-0.9262369	0.35477388	0.030551724
8.802164221129018e-10	-0.9145338	0.38556978	0.0071418807
8.902120285901265e-10	-0.9159748	0.37733313	-0.016225593
9.002037683337583e-10	-0.93011445	0.33313146	-0.036155116
9.101983984393374e-10	-0.9492562	0.2594274	-0.04975847
9.201918548819106e-10	-0.96450526	0.16801989	-0.055040248
9.301682983768098e-10	-0.9710833	0.074885696	-0.051474553
9.401188613469687e-10	-0.9708791	-0.0041674944	-0.040056463
9.50052437411536e-10	-0.968748	-0.05701328	-0.022842947
9.61081817502646e-10	-0.9696953	-0.07686799	-0.0005328247
9.710108767723805e-10	-0.976049	-0.058783192	0.018822033
9.80945229375841e-10	-0.98428476	-0.01092222	0.03415446
9.908867244981395e-10	-0.98808193	0.057599653	0.042724296
1e-09	-0.9844622	0.1270348	0.04328846
