#               time       E_Anisotropy              E_DMI            E_Demag  E_UniformExchange            E_total                m_x                m_y                m_z            m_error          real_time          rhs_evals               step 
#                <s>                <J>                <J>                <J>                <J>                <J>                 <>                 <>                 <>                 <>                <s>                 <>                 <> 
             5.7e-10  4.69059316444e-18 -1.05745091308e-17  4.13736857391e-18  5.85362268415e-18  4.10707529168e-18  -1.2952601954e-18 -7.93539616733e-18  -0.00664838313659  4.96003238482e-12       1678581382.3              11198                 57 
             5.8e-10  4.68840347536e-18 -1.05853006353e-17  4.13863161361e-18  5.86530304323e-18  4.10703749693e-18  6.99903098441e-17 -1.04430353254e-17  -0.00596263605136  9.23949805554e-12      1678581382.93              11338                 58 
             5.9e-10  4.68646386018e-18 -1.06008532394e-17  4.13929779095e-18  5.88207436916e-18  4.10698278088e-18 -6.86025310633e-17 -1.62601413815e-17  -0.00539734054486  9.71778213454e-12      1678581383.61              11447                 59 
               6e-10  4.68613955576e-18 -1.06158138144e-17  4.13854453088e-18  5.89804752404e-18  4.10691779628e-18  -1.2431413923e-16 -1.30046436582e-17   -0.0052612533759  8.32578450627e-12      1678581384.21              11544                 60 
             6.1e-10  4.68770531925e-18 -1.06267557626e-17  4.13641872532e-18  5.90948570538e-18  4.10685398738e-18 -8.26499362777e-18 -4.87457296749e-18  -0.00551627663701  8.82649509037e-12      1678581385.29              11641                 61 
             6.2e-10  4.69111351402e-18 -1.06318542918e-17  4.13313364773e-18   5.9144003625e-18  4.10679323248e-18  1.32424935215e-16 -1.15648231732e-17  -0.00607987122677  3.75632858152e-12      1678581385.85              11737                 62 
             6.3e-10  4.69644288654e-18 -1.06305642195e-17   4.1286621959e-18   5.9121887475e-18  4.10672961041e-18  1.34429504565e-16 -1.72412238807e-17  -0.00700868079252  6.33093577562e-12      1678581386.42              11834                 63 
             6.4e-10  4.70355938763e-18 -1.06239103425e-17   4.1230285132e-18  5.90398334776e-18  4.10666090608e-18 -1.10729326942e-16 -1.19965765716e-17  -0.00836917305911  4.79816186783e-12      1678581387.32              11931                 64 
             6.5e-10   4.7115993103e-18 -1.06147056099e-17  4.11677676951e-18  5.89292168089e-18  4.10659215083e-18  4.16796227161e-17 -8.79215681741e-18   -0.0100181767737  3.45168338356e-12       1678581387.9              12028                 65 
             6.6e-10  4.71909520885e-18 -1.06067435279e-17  4.11091915501e-18   5.8832600628e-18  4.10653089878e-18 -4.92661467177e-17 -1.46709419304e-17   -0.0115952790932  4.09627887166e-12      1678581388.46              12125                 66 
